Time,Folder,Filename,Official,All,Highlights
2018-09-22-170624,Official,425.jpg,x,x,
2018-09-22-170640,Official,426.jpg,x,x,
2018-09-22-170649,Official,427.jpg,x,x,
2018-09-22-170700,Official,428.jpg,x,x,
2018-09-22-170709,Official,429.jpg,x,x,
2018-09-22-170735,Official,430.jpg,x,x,
2018-09-22-170751,Official,431.jpg,x,x,
2018-09-22-170813,Official,432.jpg,x,x,
2018-09-22-170833,Official,433.jpg,x,x,
2018-09-22-170839,Official,434.jpg,x,x,
2018-09-22-170900,Official,435.jpg,x,x,
2018-09-22-170911,Official,436.jpg,x,x,
